Branch Site Analysis Summary
=========================

Clade_ID	Supporting_Sites	Conflicting_Sites	Neutral_Sites	Support_Ratio	Sum_Supporting_Delta	Sum_Conflicting_Delta	Weighted_Support_Ratio
Clade_10	62600	27200	100	2.3015	-8012.1904	6401.7364	1.2516
Clade_11	67400	22400	100	3.0089	-8788.9900	5343.8972	1.6447
Clade_3	60200	29500	100	2.0407	-8977.7192	5590.4408	1.6059
Clade_4	63100	26600	100	2.3722	-4932.9236	3729.4764	1.3227
Clade_5	65500	24300	100	2.6955	-6348.9292	3936.9717	1.6126
Clade_6	61800	27900	100	2.2151	-3924.9788	2856.6480	1.3740
Clade_7	68600	21100	100	3.2512	-9341.9375	4792.2137	1.9494
Clade_8	62000	27700	100	2.2383	-3944.3855	3864.8368	1.0206
Clade_9	65600	24200	100	2.7107	-20015.0551	10895.5938	1.8370
